Metal,Conc,Growth,Pcon
Cu,0,0.187070238,99
Cu,0,0.187699163,100
Cu,0,0.190038709,101
Cu,0,0.206251375,100
Cu,0,0.203552625,98
Cu,0,0.210734343,102
Cu,0,0.204050775,100
Cu,0,0.201350234,99
Cu,0,0.204243624,101
Cu,0,0.234388717,95.23909747
Cu,0,0.246675908,100.2317482
Cu,0,0.257252064,104.5291544
Cu,0,0.232769905,100.087661
Cu,0,0.233246124,100.2924284
Cu,0,0.231682076,99.61991062
Cu,0,0.21303965,99.39330898
Cu,0,0.208138564,97.10671518
Cu,0,0.221841881,103.4999758
Cu,0,0.234388717,95.23909747
Cu,0,0.246675908,100.2317482
Cu,0,0.257252064,104.5291544
Cu,0,0.232769905,100.087661
Cu,0,0.233246124,100.2924284
Cu,0,0.231682076,99.61991062
Cu,0,0.21303965,99.39330898
Cu,0,0.208138564,97.10671518
Cu,0,0.221841881,103.4999758
Con,0,0.234388717,95.23909747
Con,0,0.246675908,100.2317482
Con,0,0.257252064,104.5291544
Con,0,0.232769905,100.087661
Con,0,0.233246124,100.2924284
Con,0,0.231682076,99.61991062
Con,0,0.21303965,99.39330898
Con,0,0.208138564,97.10671518
Con,0,0.221841881,103.4999758
Cu,11,0.193203336,102.62
Cu,11,0.196143865,104.18
Cu,11,0.202193573,107.4
Cu,24,0.189178906,100.48
Cu,24,0.201090622,106.81
Cu,24,0.198636495,105.51
Cu,42,0.174303435,92.58
Cu,42,0.15397027,81.78
Cu,42,0.166311633,88.34
Cu,67,0.107567536,57.13
Cu,67,0.118612179,63
Cu,67,0.105959207,56.28
Cu,90,0.062793563,33.35
Cu,90,0.087249764,46.34
Cu,90,0.079444193,42.2
Cu,11,0.192417592,93.02
Cu,11,0.181087505,87.55
Cu,11,0.195999724,94.76
Cu,25,0.162451634,78.54
Cu,25,0.18243535,88.2
Cu,25,0.164098008,79.33
Cu,45,0.123242887,59.58
Cu,45,0.130567889,63.12
Cu,45,0.120457952,58.24
Cu,69,0.107315602,51.88
Cu,69,0.054763949,26.48
Cu,69,0.073912456,35.73
Cu,93,0.033363835,16.13
Cu,93,0.043683773,21.12
Cu,93,0.035000182,16.92
Cu,12,0.175631837,86.43
Cu,12,0.181686949,89.41
Cu,12,0.180172607,88.66
Cu,25,0.157410135,77.46
Cu,25,0.157418163,77.46
Cu,25,0.156593385,77.06
Cu,41,0.104667195,51.51
Cu,41,0.111958277,55.09
Cu,41,0.115776128,56.97
Cu,64,0.076872957,37.83
Cu,64,0.096482909,47.48
Cu,64,0.07360902,36.22
Cu,90,0.04140823,20.38
Cu,90,0.11448669,56.34
Cu,90,0.072793673,35.82
Cu,9,0.160125792,85.85
Cu,9,0.214392088,114.95
Cu,9,0.16425637,88.07
Cu,35,0.119196857,63.91
Cu,35,0.159785492,85.67
Cu,35,0.088945194,47.69
Cu,71,0.023158126,12.42
Cu,71,0.031436988,16.86
Cu,71,0.029203101,15.66
Cu,13,0.253498877,89.52
Cu,13,0.247863044,87.53
Cu,13,0.253738981,89.6
Cu,43,0.189143064,66.79
Cu,42,0.192574397,68
Cu,44,0.192363052,67.93
Cu,17,0.201123652,86.48
Cu,19,0.203204227,87.37
Cu,18,0.216185414,92.96
Cu,38,0.148342041,63.78
Cu,38,0.142091547,61.1
Cu,38,0.144213763,62.01
Zn,109,0.280376575,99.01
Zn,114,0.251381083,88.77
Zn,106,0.266716582,94.19
Zn,238,0.259790729,91.74
Zn,228,0.268434504,94.79
Zn,226,0.260507266,91.99
Zn,499,0.253633433,89.57
Zn,490,0.254823974,89.99
Zn,491,0.245416676,86.66
Zn,1021,0.249107876,87.97
Zn,1042,0.254882863,90.01
Zn,1020,0.242613908,85.67
Zn,2185,0.241271817,85.2
Zn,2133,0.227646013,80.39
Zn,2152,0.229999273,81.22
Zn,88,0.244675448,105.21
Zn,88,0.230207899,98.99
Zn,90,0.227031943,97.62
Zn,686,0.232381142,99.92
Zn,700,0.21678988,93.22
Zn,689,0.229898818,98.85
Pb,212,0.243396725,85.95
Pb,204,0.242418946,85.60523328
Pb,217,0.246354946,86.99515023
Pb,436,0.242949793,85.79269107
Pb,435,0.23438655,82.76875885
Pb,433,0.232667478,82.16170432
Pb,1171,0.226582692,80.01298817
Pb,1176,0.225153679,79.50836178
Pb,1155,0.223953015,79.08437193
Pb,2846,0.210175912,74.21927319
Pb,2828,0.214063917,75.59224178
Pb,2797,0.22955741,81.06344829
Pb,85,0.227917867,98.00135562
Pb,86,0.226873046,97.55209765
Pb,87,0.224771046,96.64826853
Pb,2568,0.163315847,70.22342999
Pb,2488,0.18979661,81.60977163
Pb,2496,0.167745888,72.12828307
Pb,321.5209004,0.197352254,81.56161234
Pb,492.9097206,0.18654216,77.09402357
Pb,607.6289623,0.178680463,73.84494647
Pb,737.7252256,0.199196635,82.32385699
Pb,812.556447,0.174402447,72.07693093
Pb,1232.824521,0.174999777,72.32379488
Pb,1222.242118,0.178523339,73.78001029
Pb,1451.510577,0.180982382,74.79628204
Pb,1728.995777,0.186025362,76.88044147
Ni,113,0.27712249,97.86007176
Ni,115,0.269284895,95.0923874
Ni,112,0.275444569,97.26754882
Ni,228,0.265547612,93.77264301
Ni,222,0.264528357,93.41271439
Ni,225,0.274082207,96.7864586
Ni,444,0.270878886,95.65527213
Ni,437,0.260704918,92.06254586
Ni,426,0.271638492,95.92351138
Ni,963,0.233487934,82.45143147
Ni,950,0.24564899,86.74585659
Ni,959,0.23655495,83.53448448
Ni,1950,0,0
Ni,1918,0,0
Ni,1903,0.010043641,3.546704053
Ni,429,0.234537631,100.8477575
Ni,433,0.23339411,100.3560601
Ni,435,0.222763123,95.78489111
Ni,874,0.227275038,97.72494854
Ni,878,0.226347774,97.32623855
Ni,874,0.231357906,99.4805222
Ni,801.2108873,0.246421092,101.84075
Ni,1042.540207,0.216417372,89.44083209
Ni,1228.278573,0.184676855,76.3231316
Ni,1445.900103,0.147542832,60.97640629
Ni,1618.434859,0.153366814,63.38333787
Ni,1812.404087,0.039839226,16.46472977
Cd,112,0.222823468,95.81083843
Cd,115,0.222604834,95.71682882
Cd,115,0.226594056,97.43213604
Cd,1156,0.219916497,94.56088322
Cd,1150,0.221969255,95.4435395
Cd,1150,0.209246108,89.97277185
Cd,105.4530247,0.20979,86.7
Cd,324.4553361,0.21129,87.32
Cd,546.8833539,0.20584,85.07
Cd,766.9802026,0.20254,83.71
Cd,993.7983015,0.20995,86.77
Cd,1190.74911,0.19809,81.87
Cd,1419.075171,0.19119,79.02
Cd,1621.822525,0.20213,83.54
Cd,1838.549714,0.20265,83.75
Cd,2050.663432,0.18785,77.63
Cd,2299.184681,0.18669,77.15
Cd,2529.662887,0.19027,78.63
