Tipo;Comunidades;periodo;Total
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2017;17457709
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2016;17141367
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2015;17106176
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2014;16886941
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2013;17320704
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2012;17911466
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2011;18291848
1011 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2010;18808667
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2017;814281
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2016;910708
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2015;647373
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2014;643136
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2013;532122
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2012;403637
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2011;481780
1012 Residuos domésticos voluminosos mezclados (enseres domésticos);Total nacional;2010;586598
06 Residuos metálicos;Total nacional;2017;20940
06 Residuos metálicos;Total nacional;2016;20376
06 Residuos metálicos;Total nacional;2015;22430
06 Residuos metálicos;Total nacional;2014;22598
06 Residuos metálicos;Total nacional;2013;20985
06 Residuos metálicos;Total nacional;2012;34640
06 Residuos metálicos;Total nacional;2011;43394
06 Residuos metálicos;Total nacional;2010;56416
071 Residuos de vidrio;Total nacional;2017;815883
071 Residuos de vidrio;Total nacional;2016;797928
071 Residuos de vidrio;Total nacional;2015;755608
071 Residuos de vidrio;Total nacional;2014;733864
071 Residuos de vidrio;Total nacional;2013;720930
071 Residuos de vidrio;Total nacional;2012;735547
071 Residuos de vidrio;Total nacional;2011;733682
071 Residuos de vidrio;Total nacional;2010;804000
072 Residuos de papel y cartón;Total nacional;2017;1061380
072 Residuos de papel y cartón;Total nacional;2016;1021166
072 Residuos de papel y cartón;Total nacional;2015;1008959
072 Residuos de papel y cartón;Total nacional;2014;976896
072 Residuos de papel y cartón;Total nacional;2013;988226
072 Residuos de papel y cartón;Total nacional;2012;1085574
072 Residuos de papel y cartón;Total nacional;2011;1266397
072 Residuos de papel y cartón;Total nacional;2010;1467365
074 Residuos de plásticos;Total nacional;2017;24571
074 Residuos de plásticos;Total nacional;2016;25119
074 Residuos de plásticos;Total nacional;2015;39453
074 Residuos de plásticos;Total nacional;2014;39807
074 Residuos de plásticos;Total nacional;2013;21577
074 Residuos de plásticos;Total nacional;2012;107524
074 Residuos de plásticos;Total nacional;2011;104681
074 Residuos de plásticos;Total nacional;2010;185501
075 Residuos de Madera;Total nacional;2017;189733
075 Residuos de Madera;Total nacional;2016;95081
075 Residuos de Madera;Total nacional;2015;87765
075 Residuos de Madera;Total nacional;2014;88498
075 Residuos de Madera;Total nacional;2013;105646
075 Residuos de Madera;Total nacional;2012;130509
075 Residuos de Madera;Total nacional;2011;127522
075 Residuos de Madera;Total nacional;2010;192052
076 Residuos textiles;Total nacional;2017;39235
076 Residuos textiles;Total nacional;2016;34616
076 Residuos textiles;Total nacional;2015;40767
076 Residuos textiles;Total nacional;2014;41329
076 Residuos textiles;Total nacional;2013;23488
076 Residuos textiles;Total nacional;2012;14656
076 Residuos textiles;Total nacional;2011;7668
076 Residuos textiles;Total nacional;2010;4683
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2017;54599
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2016;46068
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2015;63338
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2014;52582
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2013;41644
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2012;32179
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2011;29330
082 y 0843 Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados;Total nacional;2010;61216
0841 Residuos de pilas y acumuladores;Total nacional;2017;1780
0841 Residuos de pilas y acumuladores;Total nacional;2016;1920
0841 Residuos de pilas y acumuladores;Total nacional;2015;3687
0841 Residuos de pilas y acumuladores;Total nacional;2014;3061
0841 Residuos de pilas y acumuladores;Total nacional;2013;7119
0841 Residuos de pilas y acumuladores;Total nacional;2012;1876
0841 Residuos de pilas y acumuladores;Total nacional;2011;1624
0841 Residuos de pilas y acumuladores;Total nacional;2010;3083
09 Residuos animales y vegetales;Total nacional;2017;876822
09 Residuos animales y vegetales;Total nacional;2016;835703
09 Residuos animales y vegetales;Total nacional;2015;789919
09 Residuos animales y vegetales;Total nacional;2014;781960
09 Residuos animales y vegetales;Total nacional;2013;844081
09 Residuos animales y vegetales;Total nacional;2012;799776
09 Residuos animales y vegetales;Total nacional;2011;930511
09 Residuos animales y vegetales;Total nacional;2010;954377
1021 Envases mixtos y embalajes mezclados;Total nacional;2017;660932
1021 Envases mixtos y embalajes mezclados;Total nacional;2016;611790
1021 Envases mixtos y embalajes mezclados;Total nacional;2015;592353
1021 Envases mixtos y embalajes mezclados;Total nacional;2014;565736
1021 Envases mixtos y embalajes mezclados;Total nacional;2013;559258
1021 Envases mixtos y embalajes mezclados;Total nacional;2012;641266
1021 Envases mixtos y embalajes mezclados;Total nacional;2011;653976
1021 Envases mixtos y embalajes mezclados;Total nacional;2010;640286
11 Lodos comunes (secos);Total nacional;2017;0
11 Lodos comunes (secos);Total nacional;2016;0
11 Lodos comunes (secos);Total nacional;2015;0
11 Lodos comunes (secos);Total nacional;2014;0
11 Lodos comunes (secos);Total nacional;2013;0
11 Lodos comunes (secos);Total nacional;2012;24849
11 Lodos comunes (secos);Total nacional;2011;33302
11 Lodos comunes (secos);Total nacional;2010;44694
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2017;495597
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2016;295142
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2015;430561
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2014;433444
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2013;465104
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2012;442031
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2011;564613
12 Residuos minerales (incluye residuos de construcción y demolición);Total nacional;2010;437595
18 Otros;Total nacional;2017;1719
18 Otros;Total nacional;2016;41389
18 Otros;Total nacional;2015;57905
18 Otros;Total nacional;2014;58455
18 Otros;Total nacional;2013;134801
18 Otros;Total nacional;2012;30281
18 Otros;Total nacional;2011;11651
18 Otros;Total nacional;2010;133490
TOTAL RESIDUOS MEZCLADOS;Total nacional;2017;18271990
TOTAL RESIDUOS MEZCLADOS;Total nacional;2016;18052075
TOTAL RESIDUOS MEZCLADOS;Total nacional;2015;17753549
TOTAL RESIDUOS MEZCLADOS;Total nacional;2014;17530077
TOTAL RESIDUOS MEZCLADOS;Total nacional;2013;17852826
TOTAL RESIDUOS MEZCLADOS;Total nacional;2012;18315103
TOTAL RESIDUOS MEZCLADOS;Total nacional;2011;18773628
TOTAL RESIDUOS MEZCLADOS;Total nacional;2010;19395265
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2017;4243191
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2016;3826298
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2015;3892745
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2014;3798230
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2013;3932859
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2012;4080708
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2011;4508351
TOTAL RESIDUOS DE RECOGIDA SEPARADA;Total nacional;2010;4984758
TOTAL RESIDUOS;Total nacional;2017;22515181
TOTAL RESIDUOS;Total nacional;2016;21878373
TOTAL RESIDUOS;Total nacional;2015;21646294
TOTAL RESIDUOS;Total nacional;2014;21328307
TOTAL RESIDUOS;Total nacional;2013;21785685
TOTAL RESIDUOS;Total nacional;2012;22395811
TOTAL RESIDUOS;Total nacional;2011;23281979
TOTAL RESIDUOS;Total nacional;2010;24380023
