"","Code","Sample Point","Type","Territory","Municipality","XETRS89","YETRS89","ZETRS89","Water range","Water range type","Basin","Section","Subgroup"
"90","GAL095","Gorostiza (Galindo) (BARAKALDO)","RÍOS","Bizkaia","Barakaldo",500564,4791882,0,"Galindo-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Galindo","Galindo 2","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"91","GLA047","Kukuiaga-Bekoa (Larrainazubi) (GETXO)","RÍOS","Bizkaia","Getxo",501666,4799140,0,"Larrainazubi-A","Ríos cántabro-atlánticos calcáreos","Larrainazubi","Larrainazubi 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"92","GOB082","Getxo (Gobelas) (GETXO)","RÍOS","Bizkaia","Getxo",500033,4798370,0,"Gobelas-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Gobelas","Gobelas 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"93","GOI061","El Regato (Oiola) (BARAKALDO)","RÍOS","Bizkaia","Barakaldo",497873,4790136,NA,"Galindo-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Galindo","Oiola 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"94","IAL034","Goikolatorre (Aretxabalgane) (LARRABETZU)","RÍOS","Bizkaia","Larrabetzu",517051,4790371,0,"Amorebieta-Aretxabalgane","Ríos cántabro-atlánticos calcáreos","Ibaizabal","Aretxabalgane 2","Macroinvertebrados#Organismos fitobentónicos"
"95","IAL051","Sarrikolea (Aretxabalgane) (LARRABETZU)","RÍOS","Bizkaia","Larrabetzu",516564,4789060,0,"Amorebieta-Aretxabalgane","Ríos cántabro-atlánticos calcáreos","Ibaizabal","Aretxabalgane 2","Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"96","IAL068","Gumuzio (Aretxabalgane) (GALDAKAO)","RÍOS","Bizkaia","Galdakao",515953,4787770,0,"Amorebieta-Aretxabalgane","Ríos cántabro-atlánticos calcáreos","Ibaizabal","Aretxabalgane 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"97","IAR155","Elejabeitia (Arratia) (ARANTZAZU)","RÍOS","Bizkaia","Arantzazu",517483,4777276,0,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"98","IAR206","Zabala (Arratia) (LEMOA)","RÍOS","Bizkaia","Lemoa",518340,4781822,0,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 3","Vida piscícola"
"99","IAR222","Larrabiti (Arratia) (LEMOA)","RÍOS","Bizkaia","Lemoa",518564,4783162,0,"Arratia","Ríos cántabro-atlánticos calcáreos. Muy modificados","Arratia","Arratia 3","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"100","IAT087","Abadiño (Atxarte) (ABADIÑO)","RÍOS","Bizkaia","Abadiño",531901,4777052,NA,"Elorrio II","Pequeños ejes cántabro-atlánticos calcáreos","Ibaizabal","Atxarte 2","Aguas (Fisicoquímica)#Macroinvertebrados"
"101","IAZ066","Apatamonasterio (Arrazola) (ATXONDO)","RÍOS","Bizkaia","Atxondo",533885,4775181,NA,"Elorrio II","Pequeños ejes cántabro-atlánticos calcáreos","Ibaizabal","Arrazola 2","Aguas (Fisicoquímica)#Macroinvertebrados"
"102","IBA080","San Agustin (Ibaizabal Alto) (ELORRIO)","RÍOS","Bizkaia","Elorrio",535038,4775387,0,"Elorrio I","Ríos cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"103","IBA140","Matiena(Ibaizabal Alto) (ABADIÑO)","RÍOS","Bizkaia","Abadiño",531519,4778081,0,"Elorrio II","Pequeños ejes cántabro-atlánticos calcáreos","Ibaizabal","Ibaizabal 4","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"104","IBA162","Durango (ibaizabal Medio) (DURANGO)","RÍOS","Bizkaia","Durango",529711,4780310,0,"Ibaizabal I","Ríos cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 5","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"105","IBA194","Iurreta (aguas abajo EDAR) (Ibaizabal Medio) (IURRETA)","RÍOS","Bizkaia","Iurreta",526924,4781082,0,"Ibaizabal II","Pequeños ejes cántabro-atlánticos calcáreos","Ibaizabal","Ibaizabal 6","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"106","IBA274","Zornotza (Ibaizabal Medio) (AMOREBIETA-ETXANO)","RÍOS","Bizkaia","Amorebieta-Etxano",522565,4784418,0,"Ibaizabal II","Pequeños ejes cántabro-atlánticos calcáreos","Ibaizabal","Ibaizabal 6","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"107","IBA306","Astepe (ibaizabal Medio) (LEMOA)","RÍOS","Bizkaia","Lemoa",519929,4784362,0,"Ibaizabal III","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 8","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"108","IBA371","Usansolo (Ibaizabal)","RÍOS","Bizkaia","Bedia",515058,4784845,NA,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 9","Macroinvertebrados#Macrófitos#Organismos fitobentónicos"
"109","IBA390","Usansolo Hospital (Ibaizabal Bajo) (GALDAKAO)","RÍOS","Bizkaia","Galdakao",514531,4785967,0,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 9","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"110","IBA428","Galdakao (Ibaizabal Bajo) (GALDAKAO)","RÍOS","Bizkaia","Galdakao",512219,4786317,0,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 10","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"111","IBA518","La Peña (baizabal Bajo) (ARRIGORRIAGA)","RÍOS","Bizkaia","Arrigorriaga",506656,4787817,0,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 11","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"112","IGA040","Amorebieta (Garatondo) (AMOREBIETA-ETXANO)","RÍOS","Bizkaia","Amorebieta-Etxano",520960,4786658,0,"San Miguel","Ríos cántabro-atlánticos calcáreos","Garatondo - San Miguel","Garatondo 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"113","IIN126","Ugarana (Indusi) (DIMA)","RÍOS","Bizkaia","Dima",520373,4776408,NA,"Indusi","Ríos cántabro-atlánticos calcáreos","Arratia","Indusi 1","Macroinvertebrados#Vida piscícola#Organismos fitobentónicos"
"114","IIN140","Arzubia (Indusi) (DIMA)","RÍOS","Bizkaia","Dima",519248,4777263,0,"Indusi","Ríos cántabro-atlánticos calcáreos","Arratia","Indusi 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"115","ILK074","Miminzan (Lekubaso) (GALDAKAO)","RÍOS","Bizkaia","Galdakao",514680,4784740,NA,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Lekubaso 2","Aguas (Fisicoquímica)#Macroinvertebrados"
"116","ING014","Pipaón (Inglares)","RÍOS","Araba/Álava","Lagrán",528491,4717082,NA,"Inglares hasta Pipaón","Ríos de montaña húmeda calcárea","Inglares","Inglares 1","Aguas (Fisicoquímica)"
"117","ING175","Bergantzo (Inglares) (ZAMBRANA)","RÍOS","Araba/Álava","Zambrana",518358,4721977,0,"Inglares desde Pipaon hasta Ebro","Ríos de montaña mediterránea calcárea","Inglares","Inglares 5","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"118","ING190","Aguas abajo Berganzo (Inglares) (ZAMBRANA)","RÍOS","Araba/Álava","Zambrana",516523,4722223,NA,"Inglares desde Pipaon hasta Ebro","Ríos de montaña mediterránea calcárea","Inglares","Inglares 6","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"119","ING245","Berganzo (Inglares) (ZAMBRANA)","RÍOS","Araba/Álava","Zambrana",513480,4722303,0,"Inglares desde Pipaon hasta Ebro","Ríos de montaña mediterránea calcárea","Inglares","Inglares 6","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"120","IOR080","Txirguena (Orobio) (IURRETA)","RÍOS","Bizkaia","Iurreta",526330,4781953,0,"Maguna","Ríos cántabro-atlánticos calcáreos","Orobio - Maguna","Orobio 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"121","ISA062","Gerediaga (Sarria) (ABADIÑO)","RÍOS","Bizkaia","Abadiño",532315,4779704,0,"Akelkorta","Ríos cántabro-atlánticos calcáreos","Sarria - Aquelcorta","Sarria 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"122","KAD372","Güeñes (Kadagua Alto) (GÜEÑES)","RÍOS","Bizkaia","Güeñes",492483,4784015,0,"Cadagua II","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Kadagua","Kadagua 5","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"123","KAD410","Artxube (Kadagua Alto) (GÜEÑES)","RÍOS","Bizkaia","Güeñes",494605,4782620,NA,"Cadagua II","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Kadagua","Kadagua 5","Macroinvertebrados#Organismos fitobentónicos"
"124","KAD452","Olakoaga (Kadagua Bajo) (GÜEÑES)","RÍOS","Bizkaia","Güeñes",497966,4785341,0,"Cadagua III","Ejes fluviales principales cántabro-atlánticos calcáreos","Kadagua","Kadagua 6","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"125","KAD504","Alonsotegi (Kadagua Bajo) (ALONSOTEGI)","RÍOS","Bizkaia","Alonsotegi",500284,4787637,0,"Cadagua IV","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Kadagua","Kadagua 7","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"126","KAD530","Las Delicias (Kadagua)","RÍOS","Bizkaia","Barakaldo",502065,4788900,NA,"Cadagua IV","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Kadagua",NA,"Vida piscícola"
"127","KAR080","Concha (Karrantza) (KARRANTZA HARANA/VALLE DE CARRANZA)","RÍOS","Bizkaia","Karrantza Harana/Valle de Carranza",470851,4785688,0,"Karrantza","Ríos cántabro-atlánticos calcáreos","Karrantza","Karrantza 3","Macroinvertebrados#Organismos fitobentónicos"
"128","KAR130","Molinar (Karrantza) (KARRANTZA HARANA/VALLE DE CARRANZA)","RÍOS","Bizkaia","Karrantza Harana/Valle de Carranza",470287,4787723,0,"Karrantza","Ríos cántabro-atlánticos calcáreos","Karrantza","Karrantza 3","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"129","KCA069","El Callejo (Calera) (LANESTOSA)","RÍOS","Bizkaia","Lanestosa",464800,4783423,0,"Calera","Ríos cántabro-atlánticos calcáreos","Calera","Calera 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"130","KER055","La Llana (Erretola) (ZALLA)","RÍOS","Bizkaia","Zalla",488139,4784923,NA,"Cadagua II","Pequeños ejes cántabro-atlánticos calcáreos. Muy modificados","Kadagua","Erretola 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"131","KHA155","Allende (Aiega) (SOPUERTA)","RÍOS","Bizkaia","Sopuerta",491806,4779477,NA,"Herrerías","Pequeños ejes cántabro-atlánticos calcáreos","Herrerias","Aiega 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"132","KHE100","Retes de Llanteno (Herrerias) (AYALA /AIARA)","RÍOS","Araba/Álava","Ayala/Aiara",491503,4770694,0,"Herrerías","Pequeños ejes cántabro-atlánticos calcáreos","Herrerias","Herrerias 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"133","KHE230","La Torre (Herrerias) (GORDEXOLA)","RÍOS","Bizkaia","Gordexola",491136,4776779,0,"Herrerías","Pequeños ejes cántabro-atlánticos calcáreos","Herrerias","Herrerias 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"134","KHE300","Zubiete (Herrerias) (GORDEXOLA)","RÍOS","Bizkaia","Gordexola",495310,4781426,0,"Herrerías","Pequeños ejes cántabro-atlánticos calcáreos","Herrerias","Herrerias 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"135","KHI182","Azkarai (Izalde) (GORDEXOLA)","RÍOS","Bizkaia","Gordexola",496495,4781628,0,"Herrerías","Pequeños ejes cántabro-atlánticos calcáreos","Herrerias","Izalde 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"136","LAM047","Burgozarra (Meñakabarrena) (MUNGIA)","RÍOS","Bizkaia","Mungia",514999,4798556,NA,"Butroe-A","Ríos cántabro-atlánticos calcáreos","Butroe","Larrauri 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"137","LEA112","San Anton (Lea) (AULESTI)","RÍOS","Bizkaia","Aulesti",537234,4795316,0,"Lea-A","Ríos cántabro-atlánticos calcáreos","Lea","Lea 2","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"138","LEA196","Oleta (Lea) (AMOROTO)","RÍOS","Bizkaia","Amoroto",540004,4799006,0,"Lea-A","Ríos cántabro-atlánticos calcáreos","Lea","Lea 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"139","LEX036","Etxeaburu (Ea) (EA)","RÍOS","Bizkaia","Ea",533878,4802030,0,"Ea-A","Ríos costeros cántabro-atlánticos","Ea","Ea 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"140","LOI054","Madalen Ermita (Oiz) (AULESTI)","RÍOS","Bizkaia","Aulesti",535317,4793008,NA,"Lea-A","Ríos cántabro-atlánticos calcáreos","Lea","Oiz 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"141","NAL062","Ziorraga (Altube) (ZUIA)","RÍOS","Araba/Álava","Zuia",508142,4761297,0,"Altube I","Pequeños ejes cántabro-atlánticos calcáreos","Altube","Altube 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"142","NAL260","Anuntzibai (Altube) (OROZKO)","RÍOS","Bizkaia","Orozko",504939,4776387,0,"Altube II","Pequeños ejes cántabro-atlánticos calcáreos","Altube","Altube 4","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"143","NER050","Delika (Nerbioi Alto) (AMURRIO)","RÍOS","Araba/Álava","Amurrio",501178,4756951,NA,"Nerbioi I","Pequeños ejes cántabro-atlánticos calcáreos","Nerbioi","Nerbioi 3","Aguas (Fisicoquímica)#Macroinvertebrados#Macrófitos#Organismos fitobentónicos"
"144","NER141","Saratxo (Nerbioi Alto) (AMURRIO)","RÍOS","Araba/Álava","Amurrio",499216,4763829,0,"Nerbioi I","Pequeños ejes cántabro-atlánticos calcáreos","Nerbioi","Nerbioi 4","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"145","NER258","Luyando (Nerbioi Alto) (AYALA /AIARA)","RÍOS","Araba/Álava","Laudio/Llodio",500389,4772872,0,"Nerbioi I","Pequeños ejes cántabro-atlánticos calcáreos","Nerbioi","Nerbioi 5","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"146","NER338","Arakaldo (Nerbioi Bajo) (ARAKALDO)","RÍOS","Bizkaia","Arakaldo",504919,4777832,0,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Nerbioi 7","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"147","NER520","Basauri (Nerbioi Bajo) (BASAURI)","RÍOS","Bizkaia","Basauri",509669,4786877,0,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Nerbioi 12","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"148","NIZ106","Murga (Izoria) (AYALA /AIARA)","RÍOS","Araba/Álava","Ayala/Aiara",498628,4768994,0,"Izoria","Ríos cántabro-atlánticos calcáreos. Muy modificados","Izoria","Izoria 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"149","NLA050","Zubitxieta (Larunbe) (ARRANKUDIAGA)","RÍOS","Bizkaia","Arrankudiaga-Zollo",506330,4780424,NA,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Nerbioi",NA,"Aguas (Fisicoquímica)#Macroinvertebrados"
"150","NZE114","Elorribieta (Zeberio)","RÍOS","Bizkaia","Zeberio",508804,4779323,NA,"Zeberio","Ríos cántabro-atlánticos calcáreos","Zeberio","Zeberio 2","Vida piscícola"
"151","NZE124","Ugao-Miraballes (Zeberio) (ZEBERIO)","RÍOS","Bizkaia","Zeberio",508291,4779756,0,"Zeberio","Ríos cántabro-atlánticos calcáreos","Zeberio","Zeberio 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"152","OAG110","Aloska (Agauntza) (ATAUN)","RÍOS","Gipuzkoa","Ataun",566799,4758164,0,"Agauntza I","Ríos vasco-pirenaicos","Agauntza","Agauntza 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"153","OAG196","Ataun (Agauntza) (ATAUN)","RÍOS","Gipuzkoa","Ataun",567078,4763241,0,"Agauntza II","Pequeños ejes cántabro-atlánticos calcáreos","Agauntza","Agauntza 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"154","OAM055","Amezketa 1 (Amezketa) (AMEZKETA)","RÍOS","Gipuzkoa","Amezketa",575436,4765964,0,"Amezketa I","Ríos vasco-pirenaicos","Amezketa","Amezketa 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"155","OAM117","Errotalde (Amezketa) (ALEGIA)","RÍOS","Gipuzkoa","Alegia",574360,4771211,0,"Amezketa II","Ríos vasco-pirenaicos","Amezketa","Amezketa 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"156","OAR205","Araxes. Tramo libre (Araxes) (LIZARTZA)","RÍOS","Gipuzkoa","Lizartza",577077,4773683,0,"Araxes II","Pequeños ejes cántabro-atlánticos calcáreos","Araxes","Araxes 2","Macroinvertebrados#Riberas"
"157","OAR223","Errotagain (Araxes) (ALTZO)","RÍOS","Gipuzkoa","Altzo",576615,4773958,0,"Araxes II","Pequeños ejes cántabro-atlánticos calcáreos","Araxes","Araxes 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"158","OAS040","Errekaballara (Asteasu) (ASTEASU)","RÍOS","Gipuzkoa","Asteasu",573238,4782605,0,"Asteasu I","Ríos vasco-pirenaicos","Asteasu","Asteasu 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"159","OAS070","Zubizarreta (Asteasu) (ZIZURKIL)","RÍOS","Gipuzkoa","Zizurkil",575534,4782446,0,"Asteasu II","Ríos vasco-pirenaicos. Muy modificados","Asteasu","Asteasu 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"160","OES095","Iturralde (Estanda) (BEASAIN)","RÍOS","Gipuzkoa","Beasain",562083,4766120,NA,"Estanda","Ríos vasco-pirenaicos","Estanda","Estanda 3","Macroinvertebrados#Vida piscícola#Organismos fitobentónicos"
"161","OES116","Beasain (Estanda) (BEASAIN)","RÍOS","Gipuzkoa","Beasain",563595,4766708,0,"Estanda","Ríos vasco-pirenaicos","Estanda","Estanda 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"162","OIA044","Oiartzun (Oiartzun Alto) (OIARTZUN)","RÍOS","Gipuzkoa","Oiartzun",595710,4792736,0,"Oiartzun-A","Ríos vasco-pirenaicos","Oiartzun","Oiartzun 5","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"163","OIA095","Ugaldetxo (Oiartzun Bajo) (OIARTZUN)","RÍOS","Gipuzkoa","Oiartzun",591155,4794578,0,"Oiartzun-A","Ríos vasco-pirenaicos","Oiartzun","Oiartzun 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"164","OIA102","Errenteria (Oiartzun Bajo) (OIARTZUN)","RÍOS","Gipuzkoa","Oiartzun",590409,4795110,0,"Oiartzun-A","Ríos vasco-pirenaicos","Oiartzun","Oiartzun 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"165","OKA066","Areatza (Oka-o) (MUXIKA)","RÍOS","Bizkaia","Muxika",525449,4791273,0,"Oka-A","Ríos cántabro-atlánticos calcáreos","Oka","Oka 4","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"166","OKA075","Muxika (Oka-o) (MUXIKA)","RÍOS","Bizkaia","Muxika",525306,4793199,0,"Oka-A","Ríos cántabro-atlánticos calcáreos","Oka","Oka 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"167","OKA114","Gernika (Oka-o) (AJANGIZ)","RÍOS","Bizkaia","Ajangiz",526420,4794993,0,"Oka-A","Ríos cántabro-atlánticos calcáreos","Oka","Oka 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"168","OKG120","Errenteria (Golako) (ARRATZU)","RÍOS","Bizkaia","Arratzu",527259,4796456,0,"Golako-A","Ríos cántabro-atlánticos calcáreos","Golako","Golako 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"169","OKM040","Alarbi (Mape) (BUSTURIA)","RÍOS","Bizkaia","Busturia",523468,4801408,0,"Mape-A","Ríos costeros cántabro-atlánticos","Mape","Mape 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
